Season,DayNum_x,WTeamID,WScore_x,LTeamID,LScore_x,WLoc_x,NumOT_x,WState,LState,WSeed,LSeed,WSeedFull,LSeedFull,Conference,Round,Upset,Region,ChalkSeed,GameSlot,X,Y,WTeamName,LTeamName,DayNum_y,WScore_y,LScore_y,WLoc_y,NumOT_y,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2003,138,1163,85,1390,74,N,0,Connecticut,California,5,4,X05,X04,Big East Conference,2,True,X,4.0,R2X4,10.0,2.0,Connecticut,Stanford,138,85,74,N,0,31,68,6,10,17,21,17,26,12,9,4,1,13,27,62,8,23,12,17,11,22,12,11,2,6,18
2003,138,1181,86,1141,60,N,0,North Carolina,Michigan,3,11,Z03,Z11,Atlantic Coast Conference,2,False,Z,3.0,R2Z3,6.0,10.0,Duke,C Michigan,138,86,60,N,0,32,52,10,15,12,16,4,23,14,11,15,9,18,21,57,8,17,10,14,14,19,8,21,4,2,14
2003,138,1242,108,1113,76,N,0,Kansas,Arizona,2,10,Z02,Z10,Big 12 Conference,2,False,Z,2.0,R2Z2,2.0,10.0,Kansas,Arizona St,138,108,76,N,0,40,59,5,9,23,34,12,28,21,13,6,6,20,28,69,4,15,16,23,17,14,11,11,7,5,21
2003,138,1266,101,1281,92,N,1,Wisconsin,Missouri,3,6,Y03,Y06,Conference USA,2,False,Y,3.0,R2Y3,22.0,10.0,Marquette,Missouri,138,101,92,N,1,35,62,12,18,19,20,8,25,18,12,6,0,20,31,72,15,36,15,19,18,20,19,12,4,4,17
2003,138,1323,68,1228,60,N,0,Indiana,Illinois,5,4,Z05,Z04,Big East Conference,2,True,Z,4.0,R2Z4,10.0,10.0,Notre Dame,Illinois,138,68,60,N,0,25,61,13,24,5,5,5,32,12,11,5,4,13,22,63,5,17,11,16,10,31,12,9,6,3,10
2003,138,1328,74,1143,65,N,0,Oklahoma,California,1,8,W01,W08,Big 12 Conference,2,False,W,1.0,R2W1,30.0,2.0,Oklahoma,California,138,74,65,N,0,26,51,7,13,15,24,13,23,16,12,2,2,15,27,52,5,16,6,12,6,18,6,9,5,4,23
2003,138,1458,61,1409,60,N,0,Wisconsin,Oklahoma,5,13,Y05,Y13,Big Ten Conference,2,False,Y,4.0,R2Y4,26.0,10.0,Wisconsin,Tulsa,138,61,60,N,0,22,57,6,22,11,17,10,22,12,5,5,3,11,26,59,3,11,5,5,11,30,12,11,1,3,16
2003,139,1120,68,1448,62,N,0,Alabama,North Carolina,10,2,W10,W02,Southeastern Conference,2,True,W,2.0,R2W2,18.0,2.0,Auburn,Wake Forest,139,68,62,N,0,24,56,4,19,16,20,12,21,11,14,9,6,18,18,49,8,23,18,21,12,23,5,18,7,7,23
2003,139,1139,79,1257,71,N,0,Indiana,Kentucky,12,4,W12,W04,Horizon League,2,True,W,4.0,R2W4,26.0,2.0,Butler,Louisville,139,79,71,N,0,27,52,14,22,11,19,10,18,21,12,6,2,11,28,54,11,25,4,4,8,19,13,14,8,2,21
2003,139,1246,74,1428,54,N,0,Kentucky,Utah,1,9,Y01,Y09,Southeastern Conference,2,False,Y,1.0,R2Y1,30.0,10.0,Kentucky,Utah,139,74,54,N,0,26,55,4,13,18,18,13,22,11,13,4,3,16,19,48,4,14,12,16,8,14,8,16,7,2,19
2003,139,1268,77,1462,64,N,0,Maryland,Ohio,6,3,X06,X03,Atlantic Coast Conference,2,True,X,3.0,R2X3,6.0,2.0,Maryland,Xavier,139,77,64,N,0,30,58,3,13,14,17,7,32,19,8,2,6,21,20,57,7,18,17,24,8,20,12,7,2,0,16
2003,139,1277,68,1196,46,N,0,Michigan,Florida,7,2,X07,X02,Big Ten Conference,2,True,X,2.0,R2X2,2.0,2.0,Michigan St,Florida,139,68,46,N,0,25,45,6,16,12,18,9,21,15,10,5,0,18,16,43,5,21,9,12,8,14,9,14,2,1,20
2003,139,1338,74,1231,52,N,0,Pennsylvania,Indiana,2,7,Y02,Y07,Big East Conference,2,False,Y,2.0,R2Y2,18.0,10.0,Pittsburgh,Indiana,139,74,52,N,0,25,47,4,9,20,28,10,21,15,11,9,1,14,19,44,6,17,8,10,5,15,13,16,3,2,18
2003,139,1393,68,1329,56,N,0,New York,Oklahoma,3,6,W03,W06,Big East Conference,2,False,W,3.0,R2W3,22.0,2.0,Syracuse,Oklahoma St,139,68,56,N,0,26,57,5,12,11,18,5,33,16,17,11,9,19,22,63,3,19,9,19,11,27,16,22,8,4,19
2003,139,1400,77,1345,67,N,0,Texas,Indiana,1,9,X01,X09,Big 12 Conference,2,False,X,1.0,R2X1,14.0,2.0,Texas,Purdue,139,77,67,N,0,25,62,5,11,22,26,13,27,8,13,4,0,21,23,62,5,16,16,24,13,22,10,13,7,2,24
2003,143,1112,88,1323,71,N,0,Arizona,Indiana,1,5,Z01,Z05,Pacific-10 Conference,3,False,Z,1.0,R3Z1,12.0,9.0,Arizona,Notre Dame,143,88,71,N,0,36,76,7,14,9,11,14,30,19,10,12,5,17,25,59,10,23,11,18,9,27,15,19,6,4,16
2003,143,1242,69,1181,65,N,0,Kansas,North Carolina,2,3,Z02,Z03,Big 12 Conference,3,False,Z,2.0,R3Z2,4.0,9.0,Kansas,Duke,143,69,65,N,0,29,67,1,12,10,17,18,29,14,17,4,5,16,25,65,10,26,5,8,11,22,11,14,6,7,18
2003,143,1246,63,1458,57,N,0,Kentucky,Wisconsin,1,5,Y01,Y05,Southeastern Conference,3,False,Y,1.0,R3Y1,28.0,9.0,Kentucky,Wisconsin,143,63,57,N,0,24,49,1,5,14,24,12,21,9,14,10,4,17,19,45,8,21,11,16,7,19,9,15,7,1,20
2003,143,1266,77,1338,74,N,0,Wisconsin,Pennsylvania,3,2,Y03,Y02,Conference USA,3,True,Y,2.0,R3Y2,20.0,9.0,Marquette,Pittsburgh,143,77,74,N,0,28,54,6,12,15,22,10,18,16,10,7,3,18,29,55,4,14,12,15,10,20,18,12,6,4,19
2003,144,1277,60,1268,58,N,0,Michigan,Maryland,7,6,X07,X06,Big Ten Conference,3,True,X,2.0,R3X2,4.0,3.0,Michigan St,Maryland,144,60,58,N,0,22,56,6,17,10,12,11,26,10,18,8,3,20,20,54,2,16,16,18,9,24,8,15,12,4,15
2003,144,1328,65,1139,54,N,0,Oklahoma,Indiana,1,12,W01,W12,Big 12 Conference,3,False,W,1.0,R3W1,28.0,3.0,Oklahoma,Butler,144,65,54,N,0,27,55,4,10,7,12,19,20,15,13,6,1,18,19,43,4,13,12,17,7,14,10,13,7,2,18
2003,144,1393,79,1120,78,N,0,New York,Alabama,3,10,W03,W10,Big East Conference,3,False,W,2.0,R3W2,20.0,3.0,Syracuse,Auburn,144,79,78,N,0,29,66,5,14,16,21,15,21,14,10,9,7,17,27,63,10,22,14,17,14,26,15,17,5,5,19
2003,144,1400,82,1163,78,N,0,Texas,Connecticut,1,5,X01,X05,Big 12 Conference,3,False,X,1.0,R3X1,12.0,3.0,Texas,Connecticut,144,82,78,N,0,24,69,5,18,29,36,21,31,13,10,5,5,21,30,71,4,13,14,25,14,27,13,11,7,8,21
2003,145,1242,78,1112,75,N,0,Kansas,Arizona,2,1,Z02,Z01,Big 12 Conference,4,True,Z,1.0,R4Z1,8.0,8.0,Kansas,Arizona,145,78,75,N,0,29,67,8,26,12,18,15,22,16,15,13,5,20,23,55,10,22,19,23,11,26,16,19,8,2,17
2003,145,1266,83,1246,69,N,0,Wisconsin,Kentucky,3,1,Y03,Y01,Conference USA,4,True,Y,1.0,R4Y1,24.0,8.0,Marquette,Kentucky,145,83,69,N,0,31,55,10,19,11,15,10,26,21,15,6,6,22,25,64,4,16,15,24,20,16,14,11,10,2,19
2003,146,1393,63,1328,47,N,0,New York,Oklahoma,3,1,W03,W01,Big East Conference,4,True,W,1.0,R4W1,24.0,4.0,Syracuse,Oklahoma,146,63,47,N,0,25,48,2,12,11,19,12,28,16,24,13,2,13,18,58,5,28,6,11,14,14,10,19,13,4,16
2003,146,1400,85,1277,76,N,0,Texas,Michigan,1,7,X01,X07,Big 12 Conference,4,False,X,1.0,R4X1,8.0,4.0,Texas,Michigan St,146,85,76,N,0,25,51,6,14,29,38,8,20,16,4,6,4,22,25,54,8,16,18,26,12,26,11,12,1,2,28
2003,152,1242,94,1266,61,N,0,Kansas,Wisconsin,2,3,Z02,Y03,Big 12 Conference,5,False,YZ,,R5YZ,16.0,7.0,Kansas,Marquette,152,94,61,N,0,38,71,8,19,10,17,19,33,22,12,8,5,15,23,74,3,16,12,18,21,18,7,11,7,3,17
2003,152,1393,95,1400,84,N,0,New York,Texas,3,1,W03,X01,Big East Conference,5,True,WX,,R5WX,16.0,5.0,Syracuse,Texas,152,95,84,N,0,32,56,7,13,24,31,9,28,14,13,9,2,21,27,63,10,21,20,32,17,17,20,14,6,2,26
2003,154,1393,81,1242,78,N,0,New York,Kansas,3,2,W03,Z02,Big East Conference,6,True,CH,,R6CH,13.0,6.0,Syracuse,Kansas,154,81,78,N,0,30,63,11,18,10,17,11,25,13,17,10,7,22,31,71,4,20,12,30,26,26,18,18,9,4,16
2004,134,1197,72,1250,57,N,0,Florida,Pennsylvania,16,16,Z16a,Z16b,Mid-Eastern Athletic Conference,0,False,Z,,R0Z,,,Florida A&M,Lehigh,134,72,57,N,0,25,63,6,20,16,23,19,25,11,12,8,2,15,18,61,7,30,14,19,21,21,12,17,7,3,20
2004,136,1104,65,1356,64,N,0,Alabama,Illinois,8,9,X08,X09,Southeastern Conference,1,False,X,8.0,R1X8,13.0,1.0,Alabama,S Illinois,136,65,64,N,0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14
2004,136,1163,70,1436,53,N,0,Connecticut,Vermont,2,15,X02,X15,Big East Conference,1,False,X,2.0,R1X2,1.0,1.0,Connecticut,Vermont,136,70,53,N,0,26,52,6,14,12,23,11,31,14,13,6,3,8,19,60,11,32,4,6,11,18,10,12,7,1,19
2004,136,1177,76,1173,69,N,2,Illinois,Ohio,7,10,X07,X10,Conference USA,1,False,X,7.0,R1X7,3.0,1.0,DePaul,Dayton,136,76,69,N,2,24,59,5,13,23,40,11,38,13,11,4,3,19,27,79,3,20,12,23,18,32,11,10,5,3,29
2004,136,1181,96,1106,61,N,0,North Carolina,Alabama,1,16,W01,W16,Atlantic Coast Conference,1,False,W,1.0,R1W1,31.0,1.0,Duke,Alabama St,136,96,61,N,0,32,66,9,26,23,31,17,29,19,14,14,4,19,22,57,7,20,10,17,9,22,7,21,7,1,20
2004,136,1211,76,1434,49,N,0,Washington,Indiana,2,15,Z02,Z15,West Coast Conference,1,False,Z,2.0,R1Z2,1.0,11.0,Gonzaga,Valparaiso,136,76,49,N,0,29,54,3,13,15,25,10,36,19,15,6,5,14,18,63,6,23,7,11,10,21,8,13,6,0,20
2004,136,1264,75,1196,60,N,0,New York,Florida,12,5,Y12,Y05,Metro Atlantic Athletic Conference,1,True,Y,5.0,R1Y5,27.0,11.0,Manhattan,Florida,136,75,60,N,0,26,60,6,15,17,21,13,23,10,10,8,4,21,21,45,3,13,15,22,4,22,4,14,4,4,18
2004,136,1268,86,1431,83,N,0,Maryland,Texas,4,13,X04,X13,Atlantic Coast Conference,1,False,X,4.0,R1X4,9.0,1.0,Maryland,UTEP,136,86,83,N,0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25
2004,136,1305,72,1277,66,N,0,Nevada,Michigan,10,7,Z10,Z07,Western Athletic Conference,1,True,Z,7.0,R1Z7,3.0,11.0,Nevada,Michigan St,136,72,66,N,0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25
2004,136,1314,63,1102,52,N,0,North Carolina,Colorado,6,11,W06,W11,Atlantic Coast Conference,1,False,W,6.0,R1W6,21.0,1.0,North Carolina,Air Force,136,63,52,N,0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15
2004,136,1371,80,1112,76,N,0,New Jersey,Arizona,8,9,W08,W09,Big East Conference,1,False,W,8.0,R1W8,29.0,1.0,Seton Hall,Arizona,136,80,76,N,0,27,58,8,22,18,24,12,21,12,10,6,0,19,28,53,5,11,15,19,7,22,12,14,4,3,15
2004,136,1386,82,1251,63,N,0,Pennsylvania,Virginia,1,16,Y01,Y16,Atlantic 10 Conference,1,False,Y,1.0,R1Y1,31.0,11.0,St Joseph's PA,Liberty,136,82,63,N,0,27,60,8,23,20,28,10,26,16,14,15,3,17,22,51,6,20,13,18,7,29,15,26,7,1,22
2004,136,1390,71,1427,45,N,0,California,Texas,1,16,X01,X16,Pacific-10 Conference,1,False,X,1.0,R1X1,15.0,1.0,Stanford,UT San Antonio,136,71,45,N,0,27,54,6,14,11,15,11,29,11,20,11,9,20,15,63,2,15,13,21,22,17,2,19,8,3,15
2004,136,1393,80,1140,75,N,0,New York,Utah,5,12,X05,X12,Big East Conference,1,False,X,5.0,R1X5,11.0,1.0,Syracuse,BYU,136,80,75,N,0,24,46,11,16,21,28,5,18,12,7,2,4,15,26,55,10,26,13,19,15,21,19,9,2,1,23
2004,136,1400,66,1343,49,N,0,Texas,New Jersey,3,14,W03,W14,Big 12 Conference,1,False,W,3.0,R1W3,23.0,1.0,Texas,Princeton,136,66,49,N,0,23,50,11,15,9,14,17,26,10,13,3,1,16,18,51,5,26,8,12,9,14,11,7,5,0,18
2004,136,1403,76,1150,73,N,0,Texas,North Carolina,8,9,Y08,Y09,Big 12 Conference,1,False,Y,8.0,R1Y8,29.0,11.0,Texas Tech,Charlotte,136,76,73,N,0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20
2004,136,1448,79,1433,78,N,0,North Carolina,Virginia,4,13,Y04,Y13,Atlantic Coast Conference,1,False,Y,4.0,R1Y4,25.0,11.0,Wake Forest,VCU,136,79,78,N,0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22
2004,137,1130,58,1428,51,N,0,Massachusetts,Utah,6,11,Z06,Z11,Big East Conference,1,False,Z,6.0,R1Z6,5.0,11.0,Boston College,Utah,137,58,51,N,0,23,44,3,4,9,11,4,21,20,8,4,3,13,19,50,3,18,10,10,9,17,12,8,2,0,12
2004,137,1153,80,1190,77,N,0,Ohio,Tennessee,4,13,W04,W13,Conference USA,1,False,W,4.0,R1W4,25.0,1.0,Cincinnati,ETSU,137,80,77,N,0,29,62,13,32,9,11,12,33,22,17,3,11,19,29,74,6,23,13,20,17,21,14,6,11,3,14
2004,137,1210,65,1320,60,N,0,Georgia,Iowa,3,14,Z03,Z14,Atlantic Coast Conference,1,False,Z,3.0,R1Z3,7.0,11.0,Georgia Tech,Northern Iowa,137,65,60,N,0,25,55,6,18,9,12,8,29,10,12,4,3,14,21,54,10,27,8,10,3,25,15,10,2,1,16
2004,137,1228,72,1293,53,N,0,Illinois,Kentucky,5,12,W05,W12,Big Ten Conference,1,False,W,5.0,R1W5,27.0,1.0,Illinois,Murray St,137,72,53,N,0,27,60,9,24,9,13,16,28,19,8,5,5,17,17,49,8,20,11,17,9,18,8,10,4,2,13
2004,137,1242,78,1227,53,N,0,Kansas,Illinois,4,13,Z04,Z13,Big 12 Conference,1,False,Z,4.0,R1Z4,9.0,11.0,Kansas,IL Chicago,137,78,53,N,0,24,39,5,12,25,40,6,35,18,25,6,8,19,20,64,3,16,10,14,11,15,10,15,9,0,25
2004,137,1246,96,1197,76,N,0,Kentucky,Florida,1,16,Z01,Z16a,Southeastern Conference,1,False,Z,1.0,R1Z1,15.0,11.0,Kentucky,Florida A&M,137,96,76,N,0,35,62,11,28,15,23,13,29,23,17,8,5,15,30,66,11,30,5,12,12,17,13,17,13,1,19
2004,137,1272,59,1376,43,N,0,Tennessee,South Carolina,7,10,Y07,Y10,Conference USA,1,False,Y,7.0,R1Y7,19.0,11.0,Memphis,South Carolina,137,59,43,N,0,23,59,9,27,4,7,14,22,16,9,3,4,15,15,42,2,13,11,16,4,21,9,12,5,4,14
2004,137,1280,85,1284,52,N,0,Mississippi,New Jersey,2,15,W02,W15,Southeastern Conference,1,False,W,2.0,R1W2,17.0,1.0,Mississippi St,Monmouth NJ,137,85,52,N,0,30,56,8,22,17,23,13,34,19,17,12,3,13,18,51,9,27,7,15,3,17,12,17,7,0,18
2004,137,1301,61,1418,52,N,0,North Carolina,Louisiana,3,14,X03,X14,Atlantic Coast Conference,1,False,X,3.0,R1X3,7.0,1.0,NC State,Louisiana,137,61,52,N,0,18,49,5,17,20,24,13,24,10,15,5,0,20,16,49,5,22,15,23,11,21,9,15,9,2,21
2004,137,1329,75,1186,56,N,0,Oklahoma,Washington,2,15,Y02,Y15,Big 12 Conference,1,False,Y,2.0,R1Y2,17.0,11.0,Oklahoma St,E Washington,137,75,56,N,0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15
